"","nrounds","eta","max_depth","subsample","colsample_bytree","min_rmse","optimal_nround","best_iter_from_xgb","cv_time"
"1",10000,0.05,4,0.8,0.6,470.246437232558,177,177,12.39
"2",10000,0.05,6,0.8,0.6,487.426933860465,80,80,7.37599999999998
"3",10000,0.05,8,0.8,0.6,470.570411883721,126,126,14.9990000000001
"4",10000,0.05,10,0.8,0.6,471.39408272093,87,87,11.049
"5",10000,0.05,12,0.8,0.6,475.476040186047,136,136,16.6800000000001
"6",10000,0.05,4,1,0.6,465.970342581395,85,85,6.8309999999999
"7",10000,0.05,6,1,0.6,483.681206302326,106,106,10.8340000000001
"8",10000,0.05,8,1,0.6,475.444682302326,86,86,10.6409999999998
"9",10000,0.05,10,1,0.6,484.54071755814,104,104,12.0930000000001
"10",10000,0.05,12,1,0.6,499.553012581395,112,112,13.5
"11",10000,0.05,4,0.8,0.8,471.864615534884,106,106,8.08899999999994
"12",10000,0.05,6,0.8,0.8,474.357947069767,115,115,10.6180000000002
"13",10000,0.05,8,0.8,0.8,486.000207255814,99,99,11.104
"14",10000,0.05,10,0.8,0.8,480.306578209302,164,164,19.3989999999999
"15",10000,0.05,12,0.8,0.8,499.428398627907,72,72,9.33199999999988
"16",10000,0.05,4,1,0.8,470.805121767442,84,84,6.96800000000007
"17",10000,0.05,6,1,0.8,492.350378790698,89,89,9.27100000000019
"18",10000,0.05,8,1,0.8,495.875482674419,78,78,9.11200000000008
"19",10000,0.05,10,1,0.8,495.654191790698,78,78,9.81900000000019
"20",10000,0.05,12,1,0.8,485.319230860465,82,82,10.6479999999999
"21",10000,0.05,4,0.8,1,455.489485,108,108,8.20000000000005
"22",10000,0.05,6,0.8,1,461.894528302326,130,130,12.3109999999999
"23",10000,0.05,8,0.8,1,460.000675767442,94,94,10.5219999999999
"24",10000,0.05,10,0.8,1,483.906550860465,98,98,11.345
"25",10000,0.05,12,0.8,1,459.298847976744,97,97,11.6369999999999
"26",10000,0.05,4,1,1,464.352099,115,115,8.63699999999994
"27",10000,0.05,6,1,1,497.925199232558,74,74,7.88299999999981
"28",10000,0.05,8,1,1,505.657149813953,73,73,9.13599999999997
"29",10000,0.05,10,1,1,506.421611,74,74,9.65599999999995
"30",10000,0.05,12,1,1,505.886270186046,75,75,10.3709999999999
